name,city,country,country_code,iata,icao,x,y,elevation,apid,timezone,dst,tz_id,type,source,ap_uid,ap_name
Sogndal Airport,Sogndal,Norway,,SOG,ENSG,7.13778,61.156101,1633,5586,1,E,Europe/Oslo,airport,OurAirports,user,"Sogndal Airport (SOG), Norway"
Sohag International Airport,Sohag,Egypt,,HMB,HEMK,31.742778,26.342778,310,8235,2,E,Africa/Cairo,airport,OurAirports,user,"Sohag International Airport (HMB), Egypt"
Sohar Airport,Sohar,Oman,,OHS,OOSH,56.62541,24.38604,20,11328,4,U,,airport,OurAirports,user,"Sohar Airport (OHS), Oman"
Sokol Airport,Magadan,Russia,,GDX,UHMM,150.72000122070312,59.9109992980957,574,2930,11,N,Asia/Srednekolymsk,airport,OurAirports,,"Magadan-Sokol Airport (GDX), Russia"
Sola Airport,Sola,Vanuatu,,SLH,NVSC,167.537002563,-13.8516998291,7,5894,11,U,Pacific/Efate,airport,OurAirports,user,"Sola Airport (SLH), Vanuatu"
Solapur Airport,Sholapur,India,,SSE,VASL,75.93479919430001,17.6280002594,1584,3021,5.5,N,Asia/Calcutta,airport,OurAirports,,"Sholapur-Solapur Airport (SSE), India"
Soldotna Airport,Soldotna,United States,,SXQ,PASX,-151.03399658203125,60.47570037841797,113,7692,-9,U,America/Anchorage,airport,OurAirports,user,"Soldotna Airport (SXQ), United States"
Solenzara (BA 126) Air Base,Solenzara,France,,SOZ,LFKS,9.406000137329102,41.924400329589844,28,1326,1,E,Europe/Paris,airport,OurAirports,,"Solenzara (BA 126) Air Base (SOZ), France"
Solomon Airport,Solomon,Australia,,SLJ,YSOL,117.7627,-22.2554,2030,9146,8,N,Australia/Perth,airport,OurAirports,user,"Solomon Airport (SLJ), Australia"
Solovki Airport,Solovetsky Islands,Russia,,CSH,ULAS,35.7333335876,65.0299987793,60,6110,3,N,Europe/Moscow,airport,OurAirports,user,"Solovetsky Islands-Solovki Airport (CSH), Russia"
Solwezi,Solwezi,Zambia,,SLI,,26.36667,-12.16667,1000,13804,2,N,,,,user,"Solwezi (SLI), Zambia"
Somerset County Airport,Somerset,United States,,2G9,,-79.0149951,40.0388708,2275,8539,-5,A,America/New_York,airport,User,user,"Somerset County Airport (2G9), United States"
Sonari Airport,Jamshedpur,India,,IXW,VEJS,86.1688,22.8132,475,3052,5.5,N,Asia/Calcutta,airport,OurAirports,,"Jamshedpur-Sonari Airport (IXW), India"
Sondok Airport,Hamhung,North Korea,,DSO,ZKSD,127.473999,39.745201,12,8785,8.5,U,Asia/Pyongyang,airport,OurAirports,user,"Hamhung-Sondok Airport (DSO), North Korea"
Songea Airport,Songea,Tanzania,,SGX,HTSO,35.58300018310547,-10.682999610900879,3445,9831,3,N,Africa/Dar_es_Salaam,airport,OurAirports,user,"Songea Airport (SGX), Tanzania"
Songkhla Airport,Songkhla,Thailand,,SGZ,VTSH,100.60800170898438,7.186560153961182,12,3175,7,U,Asia/Bangkok,airport,OurAirports,,"Songkhla Airport (SGZ), Thailand"
Songwe Airport,Mbeya,Tanzania,,MBI,HTGW,33.273981,-8.919942,4412,14095,,,,airport,OurAirports,,"Mbeya-Songwe Airport (MBI), Tanzania"
Songyuan Chaganhu Airport,Songyuan,China,,YSQ,ZYSQ,124.550178,44.938114,459,13473,8,N,,airport,OurAirports,user,"Songyuan Chaganhu Airport (YSQ), China"
Soria Bus Station,Soria,Spain,,XJO,,-2.466667,41.766667,3488,9804,1,E,Europe/Madrid,station,User,user,"Soria Bus Station (XJO), Spain"
Soroako Airport,Soroako,Indonesia,,SQR,WAWS,121.35800170898438,-2.5311999320983887,1388,3888,8,N,Asia/Makassar,airport,OurAirports,,"Soroako Airport (SQR), Indonesia"
Sorocaba Airport,Sorocaba,Brazil,,SOD,SDCO,-47.490002,-23.478001,2077,6044,-3,S,America/Sao_Paulo,airport,OurAirports,user,"Sorocaba Airport (SOD), Brazil"
Soroti Airport,Soroti,Uganda,,SRT,HUSO,33.622798919677734,1.7276899814605713,3697,1189,3,U,Africa/Kampala,airport,OurAirports,,"Soroti Airport (SRT), Uganda"
Soummam Airport,Bejaja,Algeria,,BJA,DAAE,5.0699200630200005,36.7120018005,20,209,1,N,Africa/Algiers,airport,OurAirports,,"Bejaja-Soummam Airport (BJA), Algeria"
Soure Airport,Soure,Brazil,,SFK,SNSW,-48.520999908447266,-0.6994310021400452,43,7371,-3,S,America/Belem,airport,OurAirports,user,"Soure Airport (SFK), Brazil"
South Alabama Regional Airport,Andalusia,United States,,79J,,-86.392222,31.308333,310,11016,-5,A,,airport,User,user,"Andalusia-South Alabama Re. (79J), United States"
South Arkansas Regional At Goodwin Field,El Dorado,United States,,ELD,KELD,-92.81330108642578,33.22100067138672,277,3696,-6,A,America/Chicago,airport,OurAirports,,"El Dorado-South Arkansas R. (ELD), United States"
South Bend Regional Airport,South Bend,United States,,SBN,KSBN,-86.31729888916016,41.70869827270508,799,4359,-5,A,America/New_York,airport,OurAirports,user,"South Bend Regional Airport (SBN), United States"
South Bimini Airport,Alice Town,Bahamas,,BIM,MYBS,-79.2647018433,25.6998996735,10,1937,-5,U,America/Nassau,airport,OurAirports,,"Alice Town-South Bimini Airport (BIM), Bahamas"
South Caicos Airport,South Caicos,Turks and Caicos Islands,,XSC,MBSC,-71.528503418,21.515699386599998,6,1755,-4,U,America/Grand_Turk,airport,OurAirports,,"South Caicos Ai. (XSC), Turks and Caicos Islands"
South Cariboo Region / 108 Mile Airport,108 Mile Ranch,Canada,,ZMH,CZML,-121.333000183,51.736099243199995,3126,8404,-8,A,America/Vancouver,airport,OurAirports,user,"108 Mile Ranch-South Cariboo Regi. (ZMH), Canada"
South Galway Airport,South Galway Station,Australia,,ZGL,YSGW,142.09027,-25.67459,380,15129,10,U,,,,user,"South Galway Station-South Gal. (ZGL), Australia"
South Indian Lake Airport,South Indian Lake,Canada,,XSI,CZSN,-98.9072036743,56.7928009033,951,7261,-6,A,America/Winnipeg,airport,OurAirports,user,"South Indian Lake Airport (XSI), Canada"
South Jersey Regional Airport,Mount Holly,United States,,LLY,KVAY,-74.845703125,39.942901611299995,53,8548,-5,A,America/New_York,airport,OurAirports,user,"Mount Holly-South Jersey R. (LLY), United States"
South Lakeland Airport,Lakeland,United States,,X49,,-82.0439739,27.9333581,110,8566,-5,A,America/New_York,airport,User,user,"Lakeland-South Lakeland Ai. (X49), United States"
South Naknek Nr 2 Airport,South Naknek,United States,,WSN,PFWS,-157.007995605,58.7033996582,162,7159,-9,A,America/Anchorage,airport,OurAirports,user,"South Naknek Nr 2 Airport (WSN), United States"
Southampton Airport,Southampton,United Kingdom,,SOU,EGHI,-1.3567999601364136,50.95029830932617,44,495,0,E,Europe/London,airport,OurAirports,,"Southampton Airport (SOU), United Kingdom"
Southdowns Airport,Southdowns,Zambia,,KIW,FLSO,28.149900436401367,-12.900500297546387,4145,911,2,U,Africa/Lusaka,airport,OurAirports,,"Southdowns Airport (KIW), Zambia"
Southeast Iowa Regional Airport,Burlington,United States,,BRL,KBRL,-91.12550354003906,40.783199310302734,698,5726,-6,A,America/Chicago,airport,OurAirports,user,"Burlington-Southeast Iowa. (BRL), United States"
Southeast Texas Regional Airport,Beaumont,United States,,BPT,KBPT,-94.02069854736328,29.9507999420166,15,3612,-6,A,America/Chicago,airport,OurAirports,,"Beaumont-Southeast Texas R. (BPT), United States"
Southend Airport,Southend,United Kingdom,,SEN,EGMC,0.6955559849739075,51.5713996887207,49,508,0,E,Europe/London,airport,OurAirports,,"Southend Airport (SEN), United Kingdom"
Southern California Logistics Airport,Victorville,United States,,VCV,KVCV,-117.383003235,34.597499847399995,2885,3554,-8,A,America/Los_Angeles,airport,OurAirports,,"Victorville-Southern Calif. (VCV), United States"
Southern Illinois Airport,Carbondale/Murphysboro,United States,,MDH,KMDH,-89.25199890136719,37.778099060058594,411,11842,,,,airport,OurAirports,,"Carbondale/Murphysboro-Sou. (MDH), United States"
Southern Wisconsin Regional Airport,Janesville,United States,,JVL,KJVL,-89.0416030884,42.620300293,808,7840,-6,A,America/Chicago,airport,OurAirports,user,"Janesville-Southern Wiscon. (JVL), United States"
Southport Airport,Portage-la-prairie,Canada,,YPG,CYPG,-98.273817,49.903099,885,103,-6,A,America/Winnipeg,airport,OurAirports,,"Portage-la-prairie-Southport Airp. (YPG), Canada"
Southwest Bay Airport,Malekula Island,Vanuatu,,SWJ,NVSX,167.4472,-16.4864,68,5912,11,U,Pacific/Efate,airport,OurAirports,user,"Malekula Island-Southwest Bay Ai. (SWJ), Vanuatu"
Southwest Florida International Airport,Fort Myers,United States,,RSW,KRSW,-81.75520324707031,26.53619956970215,30,3793,-5,A,America/New_York,airport,OurAirports,,"Fort Myers-Southwest Flori. (RSW), United States"
Southwest Georgia Regional Airport,Albany,United States,,ABY,KABY,-84.19450378417969,31.535499572753906,197,5715,-5,A,America/New_York,airport,OurAirports,user,"Albany-Southwest Georgia R. (ABY), United States"
