name,city,country,country_code,iata,icao,x,y,elevation,apid,timezone,dst,tz_id,type,source,ap_uid,ap_name
9 de Maio - Teixeira de Freitas Airport,Teixeira de Freitas,Brazil,,TXF,SNTF,-39.66849899292,-17.524499893188,344,13230,-3,S,,airport,OurAirports,user,"Teixeira de Freitas-9 de Maio - T. (TXF), Brazil"
A Coruña Airport,La Coruna,Spain,,LCG,LECO,-8.37726,43.302101,326,1220,1,E,Europe/Madrid,airport,OurAirports,,"La Coruna-A Coruña Airport (LCG), Spain"
Aachen Hauptbahnhof,Aachen,Germany,,XHJ,,6.0912,50.7676,873,9623,1,E,Europe/Berlin,station,User,user,"Aachen Hauptbahnhof (XHJ), Germany"
Aachen-Merzbrück Airport,Aachen,Germany,,AAH,EDKA,6.186388969421387,50.823055267333984,623,4165,1,E,Europe/Berlin,airport,OurAirports,user,"Aachen-Merzbrück Airport (AAH), Germany"
Aalborg Airport,Aalborg,Denmark,,AAL,EKYT,9.84924316406,57.0927589138,10,628,1,E,Europe/Copenhagen,airport,OurAirports,,"Aalborg Airport (AAL), Denmark"
Aarhus Airport,Aarhus,Denmark,,AAR,EKAH,10.619000434899998,56.2999992371,82,607,1,E,Europe/Copenhagen,airport,OurAirports,,"Aarhus Airport (AAR), Denmark"
Aasiaat Airport,Aasiaat,Greenland,,JEG,BGAA,-52.7846984863,68.7218017578,74,3997,-3,E,America/Godthab,airport,OurAirports,user,"Aasiaat Airport (JEG), Greenland"
Aba Tenna Dejazmach Yilma International Airport,Dire Dawa,Ethiopia,,DIR,HADR,41.85419845581055,9.624699592590332,3827,1112,3,U,Africa/Addis_Ababa,airport,OurAirports,,"Dire Dawa-Aba Tenna Dejazmach Y. (DIR), Ethiopia"
Abaco I Walker C Airport,Walker's Cay,Bahamas,,WKR,MYAW,-78.39969635009766,27.266700744628906,10,9759,-5,A,,airport,OurAirports,user,"Walker's Cay-Abaco I Walker C Ai. (WKR), Bahamas"
Abadan Airport,Abadan,Iran,,ABD,OIAA,48.2282981873,30.371099472,10,2097,3.5,E,Asia/Tehran,airport,OurAirports,,"Abadan Airport (ABD), Iran"
Abaiang Airport,Abaiang Atoll,Kiribati,,ABF,NGAB,173.04100036621094,1.798609972000122,0,7320,12,U,Pacific/Tarawa,airport,OurAirports,user,"Abaiang Atoll-Abaiang Airport (ABF), Kiribati"
Abakan Airport,Abakan,Russia,,ABA,UNAA,91.38500213623047,53.7400016784668,831,2955,7,N,Asia/Krasnoyarsk,airport,OurAirports,,"Abakan Airport (ABA), Russia"
Abbeville,Abbeville,France,,XAB,LFOI,1.831891,50.143501,220,1372,1,E,Europe/Paris,airport,OurAirports,,"Abbeville (XAB), France"
Abbotsford Airport,Abbotsford,Canada,,YXX,CYXX,-122.36100006103516,49.025299072265625,195,175,-8,A,America/Vancouver,airport,OurAirports,,"Abbotsford Airport (YXX), Canada"
Abdul Rachman Saleh Airport,Malang,Indonesia,,MLG,WARA,112.714996338,-7.926559925079999,1726,3894,7,N,Asia/Jakarta,airport,OurAirports,,"Malang-Abdul Rachman Saleh Air. (MLG), Indonesia"
Abeche Airport,Abeche,Chad,,AEH,FTTC,20.84429931640625,13.847000122070312,1788,997,1,N,Africa/Ndjamena,airport,OurAirports,,"Abeche Airport (AEH), Chad"
Abeid Amani Karume International Airport,Zanzibar,Tanzania,,ZNZ,HTZA,39.224899,-6.22202,54,1186,3,U,Africa/Dar_es_Salaam,airport,OurAirports,,"Zanzibar-Abeid Amani Karume Int. (ZNZ), Tanzania"
Abel Santamaria Airport,Santa Clara,Cuba,,SNU,MUSC,-79.943603515625,22.49220085144043,338,1918,-5,U,America/Havana,airport,OurAirports,,"Santa Clara-Abel Santamaria Airport (SNU), Cuba"
Abemama Atoll Airport,Abemama,Kiribati,,AEA,NGTB,173.82899475097656,0.49083301424980164,8,7590,12,U,Pacific/Tarawa,airport,OurAirports,user,"Abemama Atoll Airport (AEA), Kiribati"
Aberdeen Dyce Airport,Aberdeen,United Kingdom,,ABZ,EGPD,-2.197779893875122,57.201900482177734,215,532,0,E,Europe/London,airport,OurAirports,,"Aberdeen Dyce Airport (ABZ), United Kingdom"
Aberdeen Railway Station,Aberdeen,United Kingdom,,ZXA,,-2.0985,57.1436,0,9674,0,E,Europe/London,station,User,user,"Aberdeen Railway Station (ZXA), United Kingdom"
Aberdeen Regional Airport,Aberdeen,United States,,ABR,KABR,-98.42179870605469,45.449100494384766,1302,5714,-6,A,America/Chicago,airport,OurAirports,user,"Aberdeen Regional Airport (ABR), United States"
Abha Regional Airport,Abha,Saudi Arabia,,AHB,OEAB,42.65660095210001,18.240400314299997,6858,2059,3,U,Asia/Riyadh,airport,OurAirports,,"Abha Regional Airport (AHB), Saudi Arabia"
Abilene Regional Airport,Abilene,United States,,ABI,KABI,-99.68190002440001,32.4113006592,1791,3718,-6,A,America/Chicago,airport,OurAirports,,"Abilene Regional Airport (ABI), United States"
Abraham González International Airport,Ciudad Juarez,Mexico,,CJS,MMCS,-106.42900085449219,31.63610076904297,3904,1796,-7,S,America/Mazatlan,airport,OurAirports,,"Ciudad Juarez-Abraham González I. (CJS), Mexico"
Abraham Lincoln Capital Airport,Springfield,United States,,SPI,KSPI,-89.67790222,39.84410095,598,4336,-6,A,America/Chicago,airport,OurAirports,user,"Springfield-Abraham Lincol. (SPI), United States"
Abu Dhabi International Airport,Abu Dhabi,United Arab Emirates,,AUH,OMAA,54.651100158691406,24.433000564575195,88,2179,4,U,Asia/Dubai,airport,OurAirports,,"Abu Dhabi Internati. (AUH), United Arab Emirates"
Abu Musa Island Airport,Abumusa I.,Iran,,AEU,OIBA,55.033001,25.8757,23,2105,3.5,E,Asia/Tehran,airport,OurAirports,,"Abumusa I.-Abu Musa Island Airport (AEU), Iran"
Abu Rudeis Airport ,Abu Rudeis,Egypt,,AUE,,33.12,28.54,39,10127,2,U,,airport,User,user,"Abu Rudeis Airport  (AUE), Egypt"
Abu Simbel Airport,Abu Simbel,Egypt,,ABS,HEBL,31.611700058,22.375999450699997,616,1127,2,U,Africa/Cairo,airport,OurAirports,,"Abu Simbel Airport (ABS), Egypt"
Acadiana Regional Airport,Louisiana,United States,,ARA,KARA,-91.883904,30.0378,24,3471,-6,A,America/Chicago,airport,OurAirports,,"Louisiana-Acadiana Regiona. (ARA), United States"
Achinsk Airport,Achinsk,Russia,,ACS,UNKS,90.57080078125,56.2682991027832,1033,11524,8,N,,airport,OurAirports,user,"Achinsk Airport (ACS), Russia"
Achmad Yani Airport,Semarang,Indonesia,,SRG,WARS,110.375,-6.97273,10,3901,7,N,Asia/Jakarta,airport,OurAirports,,"Semarang-Achmad Yani Airport (SRG), Indonesia"
Achutupo Airport,Achutupo,Panama,,ACU,,-77.98,9.2,0,8204,-5,U,America/Panama,airport,User,user,"Achutupo Airport (ACU), Panama"
Ada Regional Airport,Ada,United States,,ADT,KADH,-96.671303,34.804298,1016,9787,-6,A,America/Chicago,airport,OurAirports,user,"Ada Regional Airport (ADT), United States"
Adado Airport,Adado,Somalia,,AAD,,46.6375,6.095833,1001,13459,3,N,,,,user,"Adado Airport (AAD), Somalia"
Adak Airport,Adak Island,United States,,ADK,PADK,-176.64599609375,51.87799835205078,18,5959,-10,A,America/Adak,airport,OurAirports,user,"Adak Island-Adak Airport (ADK), United States"
Adampur Airport,Adampur,India,,AIP,VIAX,75.758797,31.4338,775,13502,5.5,N,,airport,OurAirports,user,"Adampur Airport (AIP), India"
Adana Airport,Adana,Turkey,,ADA,LTAF,35.280399322499996,36.9822006226,65,1685,3,E,Europe/Istanbul,airport,OurAirports,,"Adana Airport (ADA), Turkey"
Addis Ababa Bole International Airport,Addis Ababa,Ethiopia,,ADD,HAAB,38.799301147499996,8.97789001465,7630,1107,3,U,Africa/Addis_Ababa,airport,OurAirports,,"Addis Ababa Bole International. (ADD), Ethiopia"
Addison Airport,Addison,United States,,ADS,KADS,-96.8364028931,32.9686012268,644,7513,-6,A,America/Chicago,airport,OurAirports,user,"Addison Airport (ADS), United States"
Adelaide International Airport,Adelaide,Australia,,ADL,YPAD,138.531006,-34.945,20,3341,9.5,O,Australia/Adelaide,airport,OurAirports,,"Adelaide International Airport (ADL), Australia"
Aden Adde International Airport,Mogadishu,Somalia,,MGQ,HCMM,45.3046989440918,2.0144400596618652,29,5687,3,U,Africa/Mogadishu,airport,OurAirports,user,"Mogadishu-Aden Adde Internationa. (MGQ), Somalia"
Aden International Airport,Aden,Yemen,,ADE,OYAA,45.02880096435547,12.829500198364258,7,3977,3,U,Asia/Aden,airport,OurAirports,,"Aden International Airport (ADE), Yemen"
Adi Sumarmo Wiryokusumo Airport,Solo City,Indonesia,,SOC,WARQ,110.75700378417969,-7.516089916229248,421,3929,7,N,Asia/Jakarta,airport,OurAirports,,"Solo City-Adi Sumarmo Wiryokus. (SOC), Indonesia"
Adi Sutjipto International Airport,Yogyakarta,Indonesia,,JOG,WARJ,110.43199920654297,-7.788179874420166,350,3898,7,N,Asia/Jakarta,airport,OurAirports,,"Yogyakarta-Adi Sutjipto Intern. (JOG), Indonesia"
Adirondack Regional Airport,Saranac Lake,United States,,SLK,KSLK,-74.2061996459961,44.38529968261719,1663,5770,-5,A,America/New_York,airport,OurAirports,user,"Saranac Lake-Adirondack Re. (SLK), United States"
Adıyaman Airport,Adiyaman,Turkey,,ADF,LTCP,38.4688987732,37.7313995361,2216,5800,3,E,Europe/Istanbul,airport,OurAirports,user,"Adiyaman-Adıyaman Airport (ADF), Turkey"
Adnan Menderes International Airport,Izmir,Turkey,,ADB,LTBJ,27.156999588,38.2924003601,412,1706,3,E,Europe/Istanbul,airport,OurAirports,,"Izmir-Adnan Menderes Internationa. (ADB), Turkey"
Adolfo Suárez Madrid–Barajas Airport,Madrid,Spain,,MAD,LEMD,-3.56264,40.471926,1998,1229,1,E,Europe/Madrid,airport,OurAirports,,"Madrid-Adolfo Suárez Madrid–Bar. (MAD), Spain"
Adolino Bedin Regional Airport,Sorriso,Brazil,,SMT,SBSO,-55.672341,-12.479177,1266,13399,-4,S,,airport,OurAirports,user,"Sorriso-Adolino Bedin Regional Ai. (SMT), Brazil"
Aek Godang Airport,Padang Sidempuan,Indonesia,,AEG,WIME,99.430496,1.4001,922,3277,7,N,Asia/Jakarta,airport,OurAirports,,"Padang Sidempuan-Aek Godang Ai. (AEG), Indonesia"
Aeroclub Cluj,Dezmir,Romania,,DZM,,23.4258,46.4643,1019,8184,2,U,Europe/Bucharest,unknown,User,user,"Dezmir-Aeroclub Cluj (DZM), Romania"
Aeroclub Deva,Deva,Romania,,DVA,,22.5813,45.5153,615,8183,2,U,Europe/Bucharest,unknown,User,user,"Deva-Aeroclub Deva (DVA), Romania"
Aeroclub Sibiu,Sibiu,Romania,,SIB,,24.053,45.4649,1451,8155,2,E,Europe/Bucharest,unknown,User,user,"Sibiu-Aeroclub Sibiu (SIB), Romania"
Aeroclube Airport,Nova Iguacu,Brazil,,QNV,SDNY,-43.46030044555664,-22.74530029296875,164,7675,-3,S,America/Sao_Paulo,airport,OurAirports,user,"Nova Iguacu-Aeroclube Airport (QNV), Brazil"
Aerodrom Arseniev,Arseniev,Russia,,XBA,BXBA,133.26861,44.1427,180,12105,10,N,,,,user,"Arseniev-Aerodrom Arseniev (XBA), Russia"
Aerodromo Goncalves Lobato (Viseu Airport),Viseu,Portugal,,VSE,LPVZ,-7.88899,40.725498,2060,1643,0,E,Europe/Lisbon,airport,OurAirports,,"Viseu-Aerodromo Goncalves Lobat. (VSE), Portugal"
Aeroporto de jericoacoara,Jericoacoara ,Brazil,,JJD,SBJE,-40.358056,-2.906667,89,13729,-3,S,,,,user,"Jericoacoara -Aeroporto de jerico. (JJD), Brazil"
Aeroporto Prefeito Octavio de Almeida Neves,Sao Joao del Rei,Brazil,,JDR,,-44.2258,-21.0864,3120,6913,-3,S,America/Sao_Paulo,unknown,User,user,"Sao Joao del Rei-Aeroporto Prefei. (JDR), Brazil"
"Aeropuerto ""General Tomas de Heres"". Ciudad Bolivar",Ciudad Bolivar,Venezuela,,CBL,SVCB,-63.5369567871,8.12216091156,197,2826,-4,U,America/Caracas,airport,OurAirports,,"Ciudad Bolivar-Aeropuerto ""Gen. (CBL), Venezuela"
Aeropuerto de Rafaela,Rafaela,Argentina,,RAF,,-61.501594,-31.282072,100,6869,-3,N,America/Cordoba,unknown,User,user,"Rafaela-Aeropuerto de Rafaela (RAF), Argentina"
Aeropuerto Internacional Felipe Angeles,Mexico City,Mexico,,NLU,MMSM,-99.015278,19.756667,7362,14979,-6,N,,,,user,"Mexico City-Aeropuerto Internacio. (NLU), Mexico"
Aeropuerto Internacional Valle del Conlara,Merlo,Argentina,,RLO,,-65.179932,-32.349803,100,7308,-3,N,America/Argentina/San_Luis,unknown,User,user,"Merlo-Aeropuerto Internacional. (RLO), Argentina"
Aerotortuguero Airport,Roxana,Costa Rica,,TTQ,MRAO,-83.6095,10.42,92,5842,-6,U,America/Costa_Rica,airport,OurAirports,user,"Roxana-Aerotortuguero Airport (TTQ), Costa Rica"
Afonso Pena Airport,Curitiba,Brazil,,CWB,SBCT,-49.1758003235,-25.5284996033,2988,2545,-3,S,America/Sao_Paulo,airport,OurAirports,,"Curitiba-Afonso Pena Airport (CWB), Brazil"
Afutara Aerodrome,Afutara,Solomon Islands,,AFT,AGAF,160.948611111,-9.19138888889,23,7615,11,U,Pacific/Guadalcanal,airport,OurAirports,user,"Afutara Aerodrome (AFT), Solomon Islands"
Afyon Airport,Afyon,Turkey,,AFY,LTAH,30.6011009216,38.726398468,3310,1687,3,E,Europe/Istanbul,airport,OurAirports,,"Afyon Airport (AFY), Turkey"
Agartala Airport,Agartala,India,,IXA,VEAT,91.24040222170001,23.8869991302,46,3038,5.5,N,Asia/Calcutta,airport,OurAirports,,"Agartala Airport (IXA), India"
Agatti Airport,Agatti Island,India,,AGX,VOAT,72.1760025024414,10.823699951171875,14,3130,5.5,N,Asia/Calcutta,airport,OurAirports,,"Agatti Island-Agatti Airport (AGX), India"
Agen-La Garenne Airport,Agen,France,,AGF,LFBA,0.5905560255050659,44.17470169067383,204,1262,1,E,Europe/Paris,airport,OurAirports,,"Agen-La Garenne Airport (AGF), France"
Aggeneys Airport,Aggeneys,South Africa,,AGZ,FAAG,18.813899993896484,-29.28179931640625,2648,791,2,U,Africa/Johannesburg,airport,OurAirports,,"Aggeneys Airport (AGZ), South Africa"
Aghajari Airport,Aghajari,Iran,,AKW,OIAG,49.6772,30.7444,88,2099,3.5,E,Asia/Tehran,airport,OurAirports,,"Aghajari Airport (AKW), Iran"
Agra Airport,Agra,India,,AGR,VIAG,77.96089935302734,27.155799865722656,551,3079,5.5,N,Asia/Calcutta,airport,OurAirports,,"Agra Airport (AGR), India"
Ağrı Airport,Agri,Turkey,,AJI,LTCO,43.025978088378906,39.654541015625,5462,5799,3,E,Europe/Istanbul,airport,OurAirports,user,"Agri-Ağrı Airport (AJI), Turkey"
Agrinion Air Base,Agrinion,Greece,,AGQ,LGAG,21.3512001,38.602001,154,1445,2,E,Europe/Athens,airport,OurAirports,,"Agrinion Air Base (AGQ), Greece"
Aguas Claras Airport,Ocana,Colombia,,OCV,SKOC,-73.3583,8.31506,3850,2735,-5,U,America/Bogota,airport,OurAirports,,"Ocana-Aguas Claras Airport (OCV), Colombia"
Aguenar – Hadj Bey Akhamok Airport,Tamanrasset,Algeria,,TMR,DAAT,5.45107984543,22.8115005493,4518,216,1,N,Africa/Algiers,airport,OurAirports,,"Tamanrasset-Aguenar – Hadj Bey. (TMR), Algeria"
Aguni Airport,Aguni,Japan,,AGJ,RORA,127.240997314,26.5925006866,38,7552,9,U,Asia/Tokyo,airport,OurAirports,user,"Aguni Airport (AGJ), Japan"
Ahe Airport,Ahe,French Polynesia,,AHE,NTHE,-146.2570037841797,-14.428099632263184,11,5889,-10,U,Pacific/Tahiti,airport,OurAirports,user,"Ahe Airport (AHE), French Polynesia"
Ahmed Al Jaber Air Base,Ahmed Al Jaber AB,Kuwait,,XIJ,OKAJ,47.791900634799994,28.9347991943,409,11906,,,,airport,OurAirports,,"Ahmed Al Jaber AB-Ahmed Al Jaber. (XIJ), Kuwait"
Ahuas Airport,Ahuas,Honduras,,AHS,MHAH,-84.352203,15.4722,249,5831,-6,U,America/Tegucigalpa,airport,OurAirports,user,"Ahuas Airport (AHS), Honduras"
Ahwaz Airport,Ahwaz,Iran,,AWZ,OIAW,48.7620010376,31.337400436399996,66,2104,3.5,E,Asia/Tehran,airport,OurAirports,,"Ahwaz Airport (AWZ), Iran"
Aiken Regional Airport,Aiken,United States,,AIK,KAIK,-81.684998,33.649399,528,8515,-5,A,America/New_York,airport,OurAirports,user,"Aiken Regional Airport (AIK), United States"
Ailuk Airport,Ailuk Island,Marshall Islands,,AIM,,169.983,10.2168,0,5815,12,U,Pacific/Majuro,airport,User,user,"Ailuk Island-Ailuk Airp. (AIM), Marshall Islands"
Ain Arnat Airport,Setif,Algeria,,QSF,DAAS,5.3244900703399995,36.178100585900005,3360,6492,1,U,Africa/Algiers,airport,OurAirports,user,"Setif-Ain Arnat Airport (QSF), Algeria"
Ain el Beida Airport,Ouargla,Algeria,,OGX,DAUU,5.412779808044434,31.917200088500977,492,243,1,N,Africa/Algiers,airport,OurAirports,,"Ouargla-Ain el Beida Airport (OGX), Algeria"
Aiome,Aiome,Papua New Guinea,,AIE,,144.44,-5.8,350,7793,10,U,Pacific/Port_Moresby,unknown,User,user,"Aiome (AIE), Papua New Guinea"
Aioun el Atrouss Airport,Aioun El Atrouss,Mauritania,,AEO,GQNA,-9.637880325317383,16.711299896240234,951,1089,0,N,Africa/Nouakchott,airport,OurAirports,,"Aioun el Atrouss Airport (AEO), Mauritania"
Airglades Airport,Clewiston,United States,,2IS,,-81.0306,26.4411,20,9814,-5,A,America/New_York,airport,User,user,"Clewiston-Airglades Airport (2IS), United States"
Airok Airport,Airok,Marshall Islands,,AIC,,171.233333,7.1,10,7608,12,U,Pacific/Majuro,airport,User,user,"Airok Airport (AIC), Marshall Islands"
Aitutaki Airport,Aitutaki,Cook Islands,,AIT,NCAI,-159.76400756835938,-18.830900192260742,14,1958,-10,U,Pacific/Rarotonga,airport,OurAirports,,"Aitutaki Airport (AIT), Cook Islands"
Aix-en-Provence TGV,Aix-en-Provence,France,,QXB,,5.317222,43.455,620,14850,1,E,,,,user,"Aix-en-Provence TGV (QXB), France"
Ajaccio-Napoléon Bonaparte Airport,Ajaccio,France,,AJA,LFKJ,8.8029203414917,41.92359924316406,18,1324,1,E,Europe/Paris,airport,OurAirports,,"Ajaccio-Napoléon Bonaparte Airpo. (AJA), France"
Akanu Ibiam International Airport,Enugu,Nigeria,,ENU,DNEN,7.561960220336914,6.474269866943359,466,264,1,N,Africa/Lagos,airport,OurAirports,,"Enugu-Akanu Ibiam International. (ENU), Nigeria"
Akhiok Airport,Akhiok,United States,,AKK,PAKH,-154.182998657,56.9387016296,44,7160,-9,A,America/Anchorage,airport,OurAirports,user,"Akhiok Airport (AKK), United States"
Akiachak Airport,Akiachak,United States,,KKI,,-161.426944,60.906111,25,9742,-9,A,America/Anchorage,airport,User,user,"Akiachak Airport (KKI), United States"
Akiak Airport,Akiak,United States,,AKI,PFAK,-161.231002808,60.9029006958,30,7217,-9,A,America/Anchorage,airport,OurAirports,user,"Akiak Airport (AKI), United States"
Akita Airport,Akita,Japan,,AXT,RJSK,140.218994140625,39.6156005859375,313,2345,9,U,Asia/Tokyo,airport,OurAirports,,"Akita Airport (AXT), Japan"
Aklavik/Freddie Carmichael Airport,Aklavik,Canada,,LAK,CYKD,-135.00599,68.223297,23,4236,-7,A,America/Edmonton,airport,OurAirports,user,"Aklavik/Freddie Carmichael Airport (LAK), Canada"
Akola Airport,Akola,India,,AKD,VAAK,77.058601,20.698999,999,2995,5.5,N,Asia/Calcutta,airport,OurAirports,,"Akola Airport (AKD), India"
Akron Canton Regional Airport,Akron,United States,,CAK,KCAK,-81.44219970703125,40.916099548339844,1228,4112,-5,A,America/New_York,airport,OurAirports,user,"Akron Canton Regional Airp. (CAK), United States"
Akron Fulton International Airport,Akron,United States,,AKC,KAKR,-81.4669036865,41.0374984741,1067,3587,-5,A,America/New_York,airport,OurAirports,,"Akron Fulton International. (AKC), United States"
Aksu Airport,Aksu,China,,AKU,ZWAK,80.291702,41.262501,3816,6404,8,U,Asia/Shanghai,airport,OurAirports,user,"Aksu Airport (AKU), China"
Aktau Airport,Aktau,Kazakhstan,,SCO,UATE,51.091999,43.8601,73,4367,5,U,Asia/Oral,airport,OurAirports,user,"Aktau Airport (SCO), Kazakhstan"
Aktion National Airport,Preveza,Greece,,PVK,LGPZ,20.765300750732422,38.925498962402344,11,1470,2,E,Europe/Athens,airport,OurAirports,,"Preveza-Aktion National Airport (PVK), Greece"
Aktobe Airport,Aktyubinsk,Kazakhstan,,AKX,UATT,57.206699,50.2458,738,2920,5,U,Asia/Oral,airport,OurAirports,,"Aktyubinsk-Aktobe Airport (AKX), Kazakhstan"
Akulivik Airport,Akulivik,Canada,,AKV,CYKO,-78.14859771728516,60.818599700927734,75,5506,-5,A,America/Toronto,airport,OurAirports,user,"Akulivik Airport (AKV), Canada"
Akunnaaq Heliport,Akunnaaq,Greenland,,QCU,,-52.3333,68.75,0,5667,-3,E,America/Godthab,airport,User,user,"Akunnaaq Heliport (QCU), Greenland"
Akure Airport,Akure,Nigeria,,AKR,DNAK,5.3010101318359375,7.246739864349365,1100,261,1,N,Africa/Lagos,airport,OurAirports,,"Akure Airport (AKR), Nigeria"
Akureyri Airport,Akureyri,Iceland,,AEY,BIAR,-18.07270050048828,65.66000366210938,6,11,0,N,Atlantic/Reykjavik,airport,OurAirports,,"Akureyri Airport (AEY), Iceland"
Akutan Seaplane Base,Akutan,United States,,KQA,KQA,-165.778895617,54.1337704415,0,6134,-9,A,America/Anchorage,airport,OurAirports,user,"Akutan Seaplane Base (KQA), United States"
Akwa Ibom International Airport,Uyo,Nigeria,,QUO,DNAI,8.093,4.8725,170,9826,1,N,Africa/Lagos,airport,OurAirports,user,"Uyo-Akwa Ibom International Airp. (QUO), Nigeria"
Al Ahsa Airport,Al-ahsa,Saudi Arabia,,HOF,OEAH,49.485198974609375,25.28529930114746,588,2060,3,U,Asia/Riyadh,airport,OurAirports,,"Al Ahsa Airport (HOF), Saudi Arabia"
Al Ain International Airport,Al Ain,United Arab Emirates,,AAN,OMAL,55.60919952392578,24.261699676513672,869,5937,4,U,Asia/Dubai,airport,OurAirports,user,"Al Ain Internationa. (AAN), United Arab Emirates"
Al Asad Air Base,Al Asad,Iraq,,IQA,ORAA,42.4412002563,33.7855987549,618,4137,3,U,Asia/Baghdad,airport,OurAirports,user,"Al Asad Air Base (IQA), Iraq"
Al Baha Airport,El-baha,Saudi Arabia,,ABT,OEBA,41.6343002319,20.2961006165,5486,2061,3,U,Asia/Riyadh,airport,OurAirports,,"El-baha-Al Baha Airport (ABT), Saudi Arabia"
Al Dhafra Air Base,Abu Dhabi,United Arab Emirates,,DHF,OMAM,54.547698974599996,24.248199462900004,77,2184,4,U,Asia/Dubai,airport,OurAirports,,"Abu Dhabi-Al Dhafra. (DHF), United Arab Emirates"
Al Ghaidah International Airport,Al Ghaidah Intl,Yemen,,AAY,OYGD,52.17499923706055,16.191699981689453,134,3979,3,U,Asia/Aden,airport,OurAirports,,"Al Ghaidah Intl-Al Ghaidah Interna. (AAY), Yemen"
Al Maktoum International Airport,Dubai,United Arab Emirates,,DWC,OMDW,55.161389,24.896356,114,8076,4,U,Asia/Dubai,airport,OurAirports,user,"Dubai-Al Maktoum In. (DWC), United Arab Emirates"
Al Massira Airport,Agadir,Morocco,,AGA,GMAD,-9.413069725036621,30.325000762939453,250,1064,0,N,Africa/Casablanca,airport,OurAirports,,"Agadir-Al Massira Airport (AGA), Morocco"
Al Minhad Air Base,Minhad AB,United Arab Emirates,,NHD,OMDM,55.3661994934,25.0268001556,165,7853,4,U,Asia/Dubai,airport,OurAirports,user,"Minhad AB-Al Minhad. (NHD), United Arab Emirates"
Al Najaf International Airport,Najaf,Iraq,,NJF,ORNI,44.404317,31.989853,103,7490,3,U,Asia/Baghdad,airport,OurAirports,user,"Najaf-Al Najaf International Airport (NJF), Iraq"
Al Qaisumah/Hafr Al Batin Airport,Hafr Al-batin,Saudi Arabia,,AQI,OEPA,46.125099,28.335199,1174,2076,3,U,Asia/Riyadh,airport,OurAirports,,"Hafr Al-batin-Al Qaisumah/H. (AQI), Saudi Arabia"
Al Taqaddum Air Base,Al Taqaddum,Iraq,,TQD,ORAT,43.597099304199,33.33810043335,275,4138,3,U,Asia/Baghdad,airport,OurAirports,user,"Al Taqaddum Air Base (TQD), Iraq"
Al Udeid Air Base,Doha,Qatar,,XJD,OTBH,51.3149986267,25.1173000336,130,6833,3,N,Asia/Qatar,airport,OurAirports,user,"Doha-Al Udeid Air Base (XJD), Qatar"
Al Wajh Domestic Airport,Wejh,Saudi Arabia,,EJH,OEWJ,36.47639846801758,26.19860076904297,66,2095,3,U,Asia/Riyadh,airport,OurAirports,,"Wejh-Al Wajh Domestic Airpo. (EJH), Saudi Arabia"
Al-Jawf Domestic Airport,Al-Jawf,Saudi Arabia,,AJF,OESK,40.099998474121094,29.78510093688965,2261,5925,3,U,Asia/Riyadh,airport,OurAirports,user,"Al-Jawf Domestic Airport (AJF), Saudi Arabia"
Alakanuk Airport,Alakanuk,United States,,AUK,PAUK,-164.659927368,62.680042266799994,10,7199,-9,A,America/Anchorage,airport,OurAirports,user,"Alakanuk Airport (AUK), United States"
Alama Iqbal International Airport,Lahore,Pakistan,,LHE,OPLA,74.40360260009766,31.5216007232666,712,2207,5,N,Asia/Karachi,airport,OurAirports,,"Lahore-Alama Iqbal Internationa. (LHE), Pakistan"
Alameda Naval Air Station,Alameda,United States,,NGZ,KNGZ,-122.31999969482422,37.78889846801758,10,9071,-8,U,America/Los_Angeles,airport,OurAirports,user,"Alameda Naval Air Station (NGZ), United States"
Alamogordo White Sands Regional Airport,Alamogordo,United States,,ALM,KALM,-105.990997314,32.8399009705,4200,5717,-7,A,America/Denver,airport,OurAirports,user,"Alamogordo White Sands Reg. (ALM), United States"
Alashankou Bole (Bortala) airport,Bole,China,,BPL,ZWAX,82.3,44.895,1253,11498,8,N,,airport,OurAirports,user,"Bole-Alashankou Bole (Bortala) air. (BPL), China"
Albacete-Los Llanos Airport,Albacete,Spain,,ABC,LEAB,-1.8635200262099998,38.9485015869,2302,1211,1,E,Europe/Madrid,airport,OurAirports,,"Albacete-Los Llanos Airport (ABC), Spain"
Albany Airport,Albany,Australia,,ALH,YABA,117.80899810791016,-34.94329833984375,233,6235,8,O,Australia/Perth,airport,OurAirports,user,"Albany Airport (ALH), Australia"
Albany International Airport,Albany,United States,,ALB,KALB,-73.80169677734375,42.74829864501953,285,3864,-5,A,America/New_York,airport,OurAirports,,"Albany International Airpo. (ALB), United States"
Albany-Rennselaer Amtrak Station,Rennselaer,United States,,ZLY,,-73.7419,42.6408,22,10068,-5,A,,station,User,user,"Rennselaer-Albany-Rennsela. (ZLY), United States"
Albert J Ellis Airport,Jacksonville NC,United States,,OAJ,KOAJ,-77.61209869380001,34.8292007446,94,4386,-5,A,America/New_York,airport,OurAirports,user,"Jacksonville NC-Albert J E. (OAJ), United States"
Albert Whitted Airport,St. Petersburg,United States,,SPG,KSPG,-82.626999,27.7651,7,3548,-5,A,America/New_York,airport,OurAirports,,"St. Petersburg-Albert Whit. (SPG), United States"
Albert-Bray Airport,Albert,France,,BYF,LFAQ,2.69765996933,49.9715003967,364,1258,1,E,Europe/Paris,airport,OurAirports,,"Albert-Bray Airport (BYF), France"
